found|bluebook|normalized|source|shortName|issuingBody|issuingType
false|Title 1, Sub 1, Sec 12112 (b)(5)(B)|TITLE 1, SUB 1, SEC 12112 BB|Americans with Disabilities Act, Title I|ADA, Title I||
false|FIL-5-2008, Annual Audit and Reporting Requirements: Internal Control Attestation Standards for Independent Auditors|FIL ANNUAL AUDIT AND REPORTING REQUIREMENTS INTERNAL CONTROL ATTESTATION STANDARDS FOR INDEPENDENT AUDITORS|FDIC Annual Audits & Reporting|FDIC Annual Audits & Reporting||
false|17G10|17G10|Asset Backed Securities|Reg AB||
false|17G5|17G5|Asset Backed Securities|Reg AB|Securities and Exchange Commission|Code of Federal Regulations
false|17G8|17G8|Asset Backed Securities|Reg AB||
false|17G6|17G6|Asset Backed Securities|Reg AB||
false|17G9|17G9|Asset Backed Securities|Reg AB||
false| 240.15Ga-1|240.15Ga-1|Asset Backed Securities|Reg AB||
false|12C.F.R. § 225|12C.F.R. § 225|Capital Plan and Stress Test Rule|Capital Plan and Stress Test Rule||Code of Federal Regulations
false|§ 312.3|§ 312.3|Children's On-line Privacy Protection Act (COPPA)|COPPA||
false|312.3 (a)|312.3 A|Children's On-line Privacy Protection Act (COPPA)|COPPA||
false|312.7|312.7|Children's On-line Privacy Protection Act (COPPA)|COPPA||
false|312.4 (a)|312.4 A|Children's On-line Privacy Protection Act (COPPA)|COPPA||
false|§ 312.5|§ 312.5|Children's On-line Privacy Protection Act (COPPA)|COPPA||
false|§312.6|§ 312.6|Children's On-line Privacy Protection Act (COPPA)|COPPA||
false|Multiple s|MULTIPLE S|Commodities and Futures|Commodities and Futures||
false|Suggest Removing|SUGGEST REMOVING|Commodities and Futures|Commodities and Futures||
false|Section 4(b) of the Commodity Exchange Act|SECTION 4(b) OF THE COMMODITY EXCHANGE ACT|Commodities and Futures|Commodities and Futures||
false|Section 6(c) of the Commodity Exchange Act|SECTION 6(c) OF THE COMMODITY EXCHANGE ACT|Commodities and Futures|Commodities and Futures||
false|9070 - NFA COMPLIANCE RULES 2-9, 2-36 AND 2-49: INFORMATION SYSTEMS SECURITY PROGRAMS1|9070 - NFA COMPLIANCE RULES 2-9, 2-36 AND 2-49: INFORMATION SYSTEMS SECURITY PROGRAMS|Commodities and Futures|Commodities and Futures||NFA Rulebook
false|9019 - COMPLIANCE RULE 2-9: SUPERVISION OF BRANCH OFFICES AND GUARANTEED IBS|9019 - COMPLIANCE RULE 2-9: SUPERVISION OF BRANCH OFFICES AND GUARANTEED IBS|Commodities and Futures|Commodities and Futures||
false|	Interagency Supervisory Guidance on Counterparty Credit Risk Management (June 29, 2011)| INTERAGENCY SUPERVISORY GUIDANCE ON COUNTERPARTY CREDIT RISK MANAGEMENT JUNE 29, 2011)|Counterparty Credit Risk Management|Counterparty Credit Risk||
false|BC-275 https://www.occ.gov/static/news-issuances/bulletins/pre-1994/banking-circulars/bc-1993-275.pdf  |BC HTTPSWWWOCCGOVSTATICNEWSISSUANCESBULLETINSPREBANKINGCIRCULARSBCPDF|Credit by banks and persons other than brokers or dealers for the purpose of purchasing or carrying margin stock (Regulation U)|Reg U||
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax Global Automatic Exchange of Information|Customer Global AEOI Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax Global Automatic Exchange of Information|Customer Global AEOI Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax Global Automatic Exchange of Information|Customer Global AEOI Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax Global Automatic Exchange of Information|Customer Global AEOI Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax Global Automatic Exchange of Information|Customer Global AEOI Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax Global Automatic Exchange of Information|Customer Global AEOI Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Department of Treasury|Code of Federal Regulations
false|Various - See Source Analysis|VARIOUS - SEE SOURCE ANALYSIS|Customer Tax US and State Internal Revenue Code|Customer US and State Tax Reporting|Department of Treasury|Code of Federal Regulations
