"id","state","statecode","county","issuance_type","leg_type","leg_subtype","leg_subsubtype","leg_date","citation_form","citation_example","fullfilename"
"1","ALASKA","AK","","STATUTES","","","","","Alaska Stat. § {{SECTION}}","Alaska Stat. § 01.05.006","/home/ekamradt/git/data-innodata/US/US-AK/sdc-alaska-statutes.xml"
"2","ALASKA","AK","","ADMIN CODE","","","","","","","/home/ekamradt/git/data-innodata/US/US-AK/sdc-alaska-admin-code.xml"
"3","MISSOURI","MO","","CODE OF STATE REGULATIONS","","","","","","","/home/ekamradt/git/data-innodata/US/US-MO/sdc-missouri-code-of-state-regulations.xml"
"4","HAWAII","HI","","ADMINISTRATIVE RULES","","","","","","","/home/ekamradt/git/data-innodata/US/US-HI/sdc-hawaii-administrative-rules.xml"
"5","HAWAII","HI","","STATUTES","","","","","","","/home/ekamradt/git/data-innodata/US/US-HI/brd-hawaii-statutes.xml"
"6","OREGON","OR","","STATUTES","","","","","","","/home/ekamradt/git/data-innodata/US/US-OR/sdc-oregon-statutes.xml"
"7","OREGON","OR","","ADMINISTRATIVE RULES","","","","","","","/home/ekamradt/git/data-innodata/US/US-OR/sdc-oregon-administrative-rules.xml"
"8","SOUTH CAROLINA","SC","","CODE OF REGULATIONS","","","","","S.C. Code Regs. {{CHAPTER}}-{{SECTION}}","S.C. Code Regs. 5-1","/home/ekamradt/git/data-innodata/US/US-SC/sdc-south-carolina-code-of-regulations.xml"
"9","SOUTH CAROLINA","SC","","STATUTES","","","","","","","/home/ekamradt/git/data-innodata/US/US-SC/brd-south-carolina-statutes.xml"
"10","SOUTH CAROLINA","SC","","CODE OF LAWS","","","","","S.C. Code § {{TITLE}}-{{CHAPTER}}-{{SECTION}}","S.C. Code § 1-1-10","/home/ekamradt/git/data-innodata/US/US-SC/sdc-south-carolina-code-of-laws.xml"
"11","MICHIGAN","MI","","ADMINISTRATIVE CODE","","","","","","","/home/ekamradt/git/data-innodata/US/US-MI/sdc-michigan-administrative-code.xml"
"12","VERMONT","VT","","STATUTES","","","","","","","/home/ekamradt/git/data-innodata/US/US-VT/brd-vermont-statutes.xml"
"13","VERMONT","VT","","ADMIN CODE OF VERMONT","","","","","","","/home/ekamradt/git/data-innodata/US/US-VT/sdc-admin-code-of-vermont.xml"
"14","VERMONT","VT","","STATUTES","","","","","","","/home/ekamradt/git/data-innodata/US/US-VT/sdc-vermont-statutes.xml"
"15","NEW MEXICO","NM","","RULES","","","","","","","/home/ekamradt/git/data-innodata/US/US-NM/sdc-new-mexico-rules.xml"
"16","NEW MEXICO","NM","","STATUTES","","","","","","","/home/ekamradt/git/data-innodata/US/US-NM/sdc-new-mexico-statutes.xml"
"17","ALABAMA","AL","","ADMINISTRATIVE CODE","","","","","","","/home/ekamradt/git/data-innodata/US/US-AL/sdc-alabama-administrative-code.xml"
"18","ALABAMA","AL","","CODE OF ALABAMA","","","","","","","/home/ekamradt/git/data-innodata/US/US-AL/sdc-code-of-alabama.xml"
"19","UTAH","UT","","CODE","","","","","Utah Code § x-x-x.","Utah Code § 20A-1-101.","/home/ekamradt/git/data-innodata/US/US-UT/brd-utah-code.xml"
"20","UTAH","UT","","CODE","","","","","Utah Code § {{TITLE}}-{{CHAPTER}}-{{SECTION}}","Utah Code § 20A-1-101","/home/ekamradt/git/data-innodata/US/US-UT/sdc-utah-code.xml"
"21","UTAH","UT","","ADMINISTRATIVE CODE","","","","","","","/home/ekamradt/git/data-innodata/US/US-UT/sdc-utah-administrative-code.xml"
"22","OKLAHOMA","OK","","ADMINISTRATIVE CODE","","","","","","","/home/ekamradt/git/data-innodata/US/US-OK/sdc-oklahoma-administrative-code.xml"
"23","OKLAHOMA","OK","","STATUTES","OKLAHOMA_STATUTES","","","","","","/home/ekamradt/git/data-innodata/US/US-OK/OKLAHOMA_STATUTES/brd-oklahoma-statutes.xml"
"24","NORTH CAROLINA","NC","","STATUTES","","","","","","","/home/ekamradt/git/data-innodata/US/US-NC/sdc-north-carolina-statutes.xml"
"25","NORTH CAROLINA","NC","","ADMINISTRATIVE CODE","","","","","","","/home/ekamradt/git/data-innodata/US/US-NC/sdc-north-carolina-administrative-code.xml"
"26","MONTANA","MT","","CODE","","","","","","","/home/ekamradt/git/data-innodata/US/US-MT/brd-montana-code.xml"
"27","MISSISSIPPI","MS","","ADMINISTRATIVE CODE","","","","","","","/home/ekamradt/git/data-innodata/US/US-MS/sdc-mississippi-administrative-code.xml"
"28","MISSISSIPPI","MS","","CODE","","","","","Miss. Code § {{TITLE}}-{{CHAPTER}}-{{SECTION}}","Miss. Code § 1-1-7","/home/ekamradt/git/data-innodata/US/US-MS/sdc-mississippi-code.xml"
"29","MISSISSIPPI","MS","","CODE","","","","","Miss. Code § x-x-x ([year]).","Miss. Code § 1-1-7 (2020).","/home/ekamradt/git/data-innodata/US/US-MS/brd-mississippi-code.xml"
"30","MARYLAND","MD","","STATUTES","","","","","Md. Code, {{Article}} § {{SECTION}}","","/home/ekamradt/git/data-innodata/US/US-MD/sdc-maryland-statutes.xml"
"31","KANSAS","KS","","ADMINISTRATIVE REGULATIONS","","","","","Kan. Admin. Regs. § {{AGENCY}}-{{ARTICLE}}-{{SECTION}}","Kan. Admin. Regs. § 1-1-5.","/home/ekamradt/git/data-innodata/US/US-KS/sdc-kansas-administrative-regulations.xml"
"32","KANSAS","KS","","STATUTES","","","","","","","/home/ekamradt/git/data-innodata/US/US-KS/brd-kansas-statutes.xml"
"33","DELAWARE","DE","","SDC CODE","","","","","","","/home/ekamradt/git/data-innodata/US/US-DE/SDC-delaware-code.xml"
"34","DELAWARE","DE","","ADMINISTRATIVE CODE","","","","","","","/home/ekamradt/git/data-innodata/US/US-DE/sdc-delaware-administrative-code.xml"
"35","PENNSYLVANIA","PA","","CONSOLIDATED STATUTES","","","","","","","/home/ekamradt/git/data-innodata/US/US-PA/sdc-pennsylvania-consolidated-statutes.xml"
"36","GEORGIA","GA","","BILLS","","","","","","","/home/ekamradt/git/data-innodata/US/US-GA/brd-georgia-bills.xml"
"37","GEORGIA","GA","","CODE OF GEORGIA","","","","","Ga. Code § {{TITLE}}-{{CHAPTER}}-{{SECTION}}","Ga. Code § 1-1-1","/home/ekamradt/git/data-innodata/US/US-GA/sdc-code-of-georgia.xml"
"38","GEORGIA","GA","","CODE OF GEORGIA","","","","","Ga. Code § x-x-x ([year]).","Ga. Code § 1-1-1 (2020).","/home/ekamradt/git/data-innodata/US/US-GA/brd-code-of-georgia.xml"
"39","GEORGIA","GA","","GABILLS FACE","GEORGIA_BILLS","SESSION-2019-2020","HB-490","2019-04-26","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2019-2020_HB-490/2019-04-26/US-GA-GaBills-8078c77e-face-11ea-af25-06550e2e9f68.xml"
"40","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","HB-1285","2004-01-29","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_HB-1285/2004-01-29/US-GA-GaBills-192854bc-466d-4d6f-83d0-b8b7e20671db.xml"
"41","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2009-2010","HB-430","2009-02-13","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2009-2010_HB-430/2009-02-13/US-GA-GaBills-0a102f8a-6bfa-48ce-b06e-cdf1efed859b.xml"
"42","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2005-2006","SR-1183","2006-03-13","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_SR-1183/2006-03-13/US-GA-GaBills-bfd9c27c-8b58-4071-be1f-dc09649e3402.xml"
"43","GEORGIA","GA","","GABILLS FBBE","GEORGIA_BILLS","SESSION-2011-2012","HB-449","2011-03-02","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_HB-449/2011-03-02/US-GA-GaBills-87a17042-fbbe-11ea-9b67-02704a55bfc4.xml"
"44","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","HB-213","2003-05-29","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_HB-213/2003-05-29/US-GA-GaBills-829937ef-76ce-4541-832d-4f73d91f02be.xml"
"45","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2005-2006","HB-1565","2006-03-06","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2005-2006_HB-1565/2006-03-06/US-GA-GaBills-0b2c17ab-eb6b-4e74-b5a5-90c5874293e8.xml"
"46","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","HB-184","2003-01-28","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_HB-184/2003-01-28/US-GA-GaBills-269df1a7-9b0f-4810-8b0e-cc31eb67d6d9.xml"
"47","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","HB-1678","2002-03-07","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_HB-1678/2002-03-07/US-GA-GaBills-afcb985d-2e77-4b09-af41-aa536f98e0e1.xml"
"48","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2019-2020","HB-193","2019-05-07","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2019-2020_HB-193/2019-05-07/US-GA-GaBills-3acc61ba-fac5-11ea-943f-06550e2e9f68.xml"
"49","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2015-2016","HB-812","2016-01-22","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2015-2016_HB-812/2016-01-22/US-GA-GaBills-104e2c12-fb74-11ea-91db-026986fb21f6.xml"
"50","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","HB-191","2001-01-18","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_HB-191/2001-01-18/US-GA-GaBills-2f098fe2-fbb4-11ea-9745-06cc42c77c8c.xml"
"51","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","SB-17","2001-01-08","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_SB-17/2001-01-08/US-GA-GaBills-d7a6671e-fbc1-11ea-9c88-06cc42c77c8c.xml"
"52","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2001-2002","SR-668","2002-02-14","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2001-2002_SR-668/2002-02-14/US-GA-GaBills-27ed6fab-6cae-4690-bc9e-fa6e00c147aa.xml"
"53","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","HR-703","2003-04-09","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_HR-703/2003-04-09/US-GA-GaBills-6301c2e0-d0e3-4657-95a5-f9e31e144194.xml"
"54","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2017-2018","SB-465","2018-02-21","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2017-2018_SB-465/2018-02-21/US-GA-GaBills-d7f54004-2b65-43f0-a1b6-916338a54d13.xml"
"55","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2011-2012","SB-116","2011-02-17","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_SB-116/2011-02-17/US-GA-GaBills-be678258-fba1-11ea-b2bf-066380f4e01c.xml"
"56","GEORGIA","GA","","GABILLS CCDF","GEORGIA_BILLS","SESSION-2011-2012","HB-281","2011-02-17","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_HB-281/2011-02-17/US-GA-GaBills-a5866d27-ccdf-4be1-8847-07b2dae469ce.xml"
