id|law_type|bluebook_value|matching_values
12|Administrative Code|Admin Code|/ADMIN/CODE/
13|Administrative Code Rule|Admin Code R.|/ADMIN/CODE/R/
14|Administrative Regulation|Admin Regs.|/ADMIN/REGS/
15|Administrative Rule|Admin R.|/ADMIN/R/
16|Articles|Art.|/ART/
17|Bylaw|Bylaw|/BYLAW/
18|Century Code|Cent. Code|/CENT/CODE/
19|Federal Regulations|C.F.R.|/CFR/
20|Code|Code|/CODE/CODES/
21|Code of Regulations|Code Regs.|/CODE/REGS/
22|Code of Rules|Code R.|/CODE/R/
23|Codified Laws|Codified Laws|/CODIFIED/LAWS/
24|Official Compilation of Codes, Rules|Comp. Codes R.|/COMP/CODES/R/
25|Official Compilation of Codes, Rules & Regulations|Comp. Codes R. & Regs.|/COMP/CODES/R/&/REGS/
26|Compiled Statutes|Comp. Stat.|/COMP/STAT/
27|Consolidated Statutes|Cons. Stat.|/CONS/STAT/
28|Federal House Bill|H.R.|/HR/
29|Federal Senate Bill|S.|/S/
30|General Laws|Gen. Laws|/GEN/LAWS/
31|General Statutes|Gen. Stat.|/GEN/STAT/
32|Laws|Laws|/LAWS/
33|Notice|Notice|/NOTICE/
34|Regulations of Agencies|Agencies Regs.|/AGENCIES/REGS/
35|Regulations|Reg.|/REG/REGS/
36|Revised Code|Rev. Code|/REV/CODE/
37|Revised Code Annotated|Rev. Code Ann.|/REV/CODE/ANN/
38|Revised Statutes|Rev. Stat.|/REV/STAT/
39|Revised Statutes Annotated|Rev. Stat. Ann.|/REV/STAT/ANN/
40|Rules|R.|/R/RULES/
41|Statutes Annotated|Stat. Ann.|/STAT/ANN/
42|Statutes|Stat.|/STAT/
