source|file|rank|error|docType|levelName|fullFilename
INNODATA|sdc-south-carolina-ratifications-and-acts.xml|8|No law type data found for 'SOUTH_CAROLINA_RATIFICATIONS_AND_ACTS'|SOUTH_CAROLINA_RATIFICATIONS_AND_ACTS|SECTION|/home/ekamradt/git/data-innodata-sdc/US/US-SC/sdc-south-carolina-ratifications-and-acts.xml
INNODATA|sdc-alabama-administrative-code.xml|4|Bad word 'r. .' for citation 'Ala. Admin. Code r. {{CHAPTER}}.{{RULE}}'  Juris:'Ala.'  LawType:'Admin. Code'|ALABAMA_ADMINISTRATIVE_CODE|RULE|/home/ekamradt/git/data-innodata-sdc/US/US-AL/sdc-alabama-administrative-code.xml
INNODATA|sdc-alabama-administrative-code.xml|5|Bad word 'r. .' for citation 'Ala. Admin. Code r. {{CHAPTER}}.{{RULE}}({{PARAGRAPH}})'  Juris:'Ala.'  LawType:'Admin. Code'|ALABAMA_ADMINISTRATIVE_CODE|PARAGRAPH|/home/ekamradt/git/data-innodata-sdc/US/US-AL/sdc-alabama-administrative-code.xml
INNODATA|sdc-utah-administrative-code.xml|2|Bad word 'Admin. Code' for citation 'Utah Admin. Code tit. {{TITLE}}'  Juris:'Utah'  LawType:'Admin. Code r.'|UTAH_ADMINISTRATIVE_CODE|TITLE|/home/ekamradt/git/data-innodata-sdc/US/US-UT/sdc-utah-administrative-code.xml
INNODATA|sdc-utah-administrative-code.xml|3|Bad word 'Admin. Code' for citation 'Utah Admin. Code tit. {{TITLE}}, ch. {{CHAPTER}}'  Juris:'Utah'  LawType:'Admin. Code r.'|UTAH_ADMINISTRATIVE_CODE|CHAPTER|/home/ekamradt/git/data-innodata-sdc/US/US-UT/sdc-utah-administrative-code.xml
INNODATA|sdc-gpo-public-laws.xml|2|citation format Pub. L. no. {{LAW_NUMBER_DATE}} is missing GPO|GPO_PUBLIC_LAWS|LAW_NUMBER_DATE|/home/ekamradt/git/data-innodata-sdc/US/US/sdc-gpo-public-laws.xml
INNODATA|sdc-gpo-public-laws.xml|2|Bad word 'no.' for citation 'Pub. L. no. {{LAW_NUMBER_DATE}}'  Juris:'GPO'  LawType:'Pub. L.'|GPO_PUBLIC_LAWS|LAW_NUMBER_DATE|/home/ekamradt/git/data-innodata-sdc/US/US/sdc-gpo-public-laws.xml
INNODATA|sdc-gpo-public-laws.xml|3|citation format {{ACT_TITLE}}, Pub. L. no. {{LAW_NUMBER_DATE}} is missing GPO|GPO_PUBLIC_LAWS|ACT_TITLE|/home/ekamradt/git/data-innodata-sdc/US/US/sdc-gpo-public-laws.xml
INNODATA|sdc-gpo-public-laws.xml|3|Bad word 'no.' for citation '{{ACT_TITLE}}, Pub. L. no. {{LAW_NUMBER_DATE}}'  Juris:'GPO'  LawType:'Pub. L.'|GPO_PUBLIC_LAWS|ACT_TITLE|/home/ekamradt/git/data-innodata-sdc/US/US/sdc-gpo-public-laws.xml
INNODATA|sdc-nasd-rules.xml|4|Bad word 'Rule' for citation 'NASD Rule {{NUMBERED_THOUSANDS}}'  Juris:'NASD'  LawType:'R.'|NASD_RULES|NUMBERED_THOUSANDS|/home/ekamradt/git/data-innodata-sdc/US/US/sdc-nasd-rules.xml
INNODATA|sdc-nasd-rules.xml|5|Bad word 'Rule' for citation 'NASD Rule {{NUMBERED_HUNDREDTHS}}'  Juris:'NASD'  LawType:'R.'|NASD_RULES|NUMBERED_HUNDREDTHS|/home/ekamradt/git/data-innodata-sdc/US/US/sdc-nasd-rules.xml
