source|file|rank|error|docType|levelName|fullFilename
INNODATA|sdc-cftc-staff-letters.xml|2|No law type data found for 'CFTC_STAFF_LETTERS'|CFTC_STAFF_LETTERS|NOTICE_TYPE_NUMBER|/home/ekamradt/git/data-innodata-sdc/US/US/sdc-cftc-staff-letters.xml
INNODATA|sdc-finra-rules.xml|8|Bad word 'Rule no.' for citation 'FINRA Rule no. {{RULE}}'  Juris:'FINRA'  LawType:'FINRA Rules'|FINRA_RULES|RULE|/home/ekamradt/git/data-innodata-sdc/US/US/sdc-finra-rules.xml
INNODATA|sdc-finra-rules.xml|9|Bad word 'Rule no.' for citation 'FINRA Rule no. {{RULE}}, {{INTERP_MATTER}}'  Juris:'FINRA'  LawType:'FINRA Rules'|FINRA_RULES|INTERP_MATTER|/home/ekamradt/git/data-innodata-sdc/US/US/sdc-finra-rules.xml
INNODATA|sdc-sec-cdi.xml|2|Bad word 'Compliance & Disclosure Interpretations' for citation 'SEC Compliance & Disclosure Interpretations, "{{DOCUMENT_TITLE}}"'  Juris:'SEC'  LawType:'CDI'|SEC_CDI|DOCUMENT_TITLE|/home/ekamradt/git/data-innodata-sdc/US/US/sdc-sec-cdi.xml
INNODATA|sdc-nfa-rulebook.xml|8|Bad word 'Bylaw' for citation 'NFA, Bylaw {{BYLAW}}'  Juris:'NFA'  LawType:'R.'|NFA_RULEBOOK|BYLAW|/home/ekamradt/git/data-innodata-sdc/US/US/sdc-nfa-rulebook.xml
INNODATA|sdc-nfa-rulebook.xml|10|Bad word 'Notice' for citation 'NFA, Notice {{NOTICE_NUMBER}}'  Juris:'NFA'  LawType:'R.'|NFA_RULEBOOK|NOTICE_NUMBER|/home/ekamradt/git/data-innodata-sdc/US/US/sdc-nfa-rulebook.xml
INNODATA|sdc-code-of-georgia.xml|4|Bad word 'ARTICLE' for citation 'Ga. Code, tit. {{TITLE]], ch. {{CHAPTER}}, art. {{ARTICLE}}'  Juris:'Ga.'  LawType:'Code'|CODE_OF_GEORGIA|ARTICLE|/home/ekamradt/git/data-innodata-sdc/US/US-GA/sdc-code-of-georgia.xml
INNODATA|sdc-code-of-georgia.xml|5|Bad word 'PART' for citation 'Ga. Code, tit. {{TITLE]], ch. {{CHAPTER}}, pt. {{PART}}'  Juris:'Ga.'  LawType:'Code'|CODE_OF_GEORGIA|PART|/home/ekamradt/git/data-innodata-sdc/US/US-GA/sdc-code-of-georgia.xml
DCL|sdc-nebraska-ucc.xml|3|Bad word 'Rev. Stat.' for citation 'Neb. Rev. Stat. - UCC § {{SECTION}}'  Juris:'Neb.'  LawType:'UCC'|NEBRASKA_UNIFORM_COMMERCIAL_CODE|SECTION|/home/ekamradt/git/data-dcl-sdc/US/US-NE/sdc-nebraska-ucc.xml
DCL|sdc-fed-res-sr-letters.xml|2|citation format SR {{LETTER}} is missing 'Federal Reserve'|FEDERAL_RESERVE_SR_LETTERS|LETTER|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-fed-res-sr-letters.xml
DCL|sdc-fed-res-sr-letters.xml|2|Bad word 'SR' for citation 'SR {{LETTER}}'  Juris:'Federal Reserve'  LawType:'SR Let.'|FEDERAL_RESERVE_SR_LETTERS|LETTER|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-fed-res-sr-letters.xml
DCL|sdc-cfpb-guidance.xml|2|Bad word 'Supervisory Guidance:' for citation 'CFPB Supervisory Guidance: {{MAIN_TITLE}}'  Juris:'CFPB'  LawType:'Guide.'|CFPB_GUIDANCE|MAIN_TITLE|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-cfpb-guidance.xml
DCL|sdc-basel-committee-coordination-bulletins.xml|2|citation format BCC Bulletin {{BULLETIN}} is missing 'Federal Reserve'|FEDERAL_RESERVE_BCC_BULLETINS|BULLETIN|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-basel-committee-coordination-bulletins.xml
DCL|sdc-basel-committee-coordination-bulletins.xml|2|Bad word 'BCC Bulletin' for citation 'BCC Bulletin {{BULLETIN}}'  Juris:'Federal Reserve'  LawType:'BCC Bull.'|FEDERAL_RESERVE_BCC_BULLETINS|BULLETIN|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-basel-committee-coordination-bulletins.xml
DCL|sdc-basel-committee-coordination-bulletins.xml|3|citation format BCC Bulletin {{BULLETIN}}, "{{SUBJECT}}" is missing 'Federal Reserve'|FEDERAL_RESERVE_BCC_BULLETINS|SUBJECT|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-basel-committee-coordination-bulletins.xml
DCL|sdc-basel-committee-coordination-bulletins.xml|3|Bad word 'BCC Bulletin' for citation 'BCC Bulletin {{BULLETIN}}, "{{SUBJECT}}"'  Juris:'Federal Reserve'  LawType:'BCC Bull.'|FEDERAL_RESERVE_BCC_BULLETINS|SUBJECT|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-basel-committee-coordination-bulletins.xml
DCL|sdc-internal-revenue-bulletins.xml|2|Bad word 'Bulletin' for citation 'IRS Bulletin {{BULLETIN}}'  Juris:'IRS'  LawType:'Bull.'|IRS_BULLETINS|BULLETIN|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-internal-revenue-bulletins.xml
DCL|sdc-internal-revenue-bulletins.xml|3|Bad word 'Bulletin' for citation 'IRS Bulletin {{BULLETIN}} {{PART}}'  Juris:'IRS'  LawType:'Bull.'|IRS_BULLETINS|PART|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-internal-revenue-bulletins.xml
DCL|sdc-bhc-supervision-manual.xml|2|Bad word 'BHC Manual' for citation 'Federal Reserve BHC Manual, "{{MAIN_TITLE}}"'  Juris:'Federal Reserve'  LawType:'BHC Man.'|FEDERAL_RESERVE_BHC_MANUAL|MAIN_TITLE|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-bhc-supervision-manual.xml
DCL|sdc-bhc-supervision-manual.xml|3|Bad word 'BHC Manual' for citation 'Federal Reserve BHC Manual, "{{MAIN_TITLE}}" {{SECTION}}'  Juris:'Federal Reserve'  LawType:'BHC Man.'|FEDERAL_RESERVE_BHC_MANUAL|SECTION|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-bhc-supervision-manual.xml
DCL|sdc-bhc-supervision-manual.xml|4|Bad word 'BHC Manual' for citation 'Federal Reserve BHC Manual, "{{MAIN_TITLE}}" {{SECTION}}{{SUBSECTION}}'  Juris:'Federal Reserve'  LawType:'BHC Man.'|FEDERAL_RESERVE_BHC_MANUAL|SUBSECTION|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-bhc-supervision-manual.xml
DCL|sdc-bhc-supervision-manual.xml|5|Bad word 'BHC Manual' for citation 'Federal Reserve BHC Manual, "{{MAIN_TITLE}}" {{SECTION}}{{SUBSECTION}}{{PARAGRAPH}}'  Juris:'Federal Reserve'  LawType:'BHC Man.'|FEDERAL_RESERVE_BHC_MANUAL|PARAGRAPH|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-bhc-supervision-manual.xml
DCL|sdc-bhc-supervision-manual.xml|6|Bad word 'BHC Manual' for citation 'Federal Reserve BHC Manual, "{{MAIN_TITLE}}" {{SECTION}}{{SUBSECTION}}{{PARAGRAPH}}{{SUBPARAGRAPH}}'  Juris:'Federal Reserve'  LawType:'BHC Man.'|FEDERAL_RESERVE_BHC_MANUAL|SUBPARAGRAPH|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-bhc-supervision-manual.xml
DCL|sdc-bhc-supervision-manual.xml|7|Bad word 'BHC Manual' for citation 'Federal Reserve BHC Manual, "{{MAIN_TITLE}}" {{SECTION}}{{SUBSECTION}}{{PARAGRAPH}}{{SUBPARAGRAPH}}{{CLAUSE}}'  Juris:'Federal Reserve'  LawType:'BHC Man.'|FEDERAL_RESERVE_BHC_MANUAL|CLAUSE|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-bhc-supervision-manual.xml
DCL|sdc-US-OCC-BULLETINS.xml|2|Bad word 'Bulletin:' for citation 'OCC Bulletin: "{{BULLETIN}}"'  Juris:'OCC'  LawType:'Bull.'|OCC_BULLETINS|BULLETIN|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-US-OCC-BULLETINS.xml
DCL|sdc-code-of-federal-regulation.xml|9|Bad word 'Appendix' for citation '{{TITLE}} C.F.R. {{PART}}, Appendix {{APPENDIX}}'  Juris:'C.F.R.'  LawType:'C.F.R.'|CFR|APPENDIX|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-code-of-federal-regulation.xml
DCL|sdc-code-of-federal-regulation.xml|10|Bad word 'Supplement' for citation '{{TITLE}} C.F.R. {{PART}}, Supplement No. {{SUPPLEMENT}}'  Juris:'C.F.R.'  LawType:'C.F.R.'|CFR|SUPPLEMENT|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-code-of-federal-regulation.xml
DCL|sdc-occ-advisory-letters.xml|2|citation format AL {{LETTER}} is missing 'OCC'|OCC_LETTERS|LETTER|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-occ-advisory-letters.xml
DCL|sdc-occ-advisory-letters.xml|2|Bad word 'AL' for citation 'AL {{LETTER}}'  Juris:'OCC'  LawType:'Let.'|OCC_LETTERS|LETTER|/home/ekamradt/git/data-dcl-sdc/US/US/sdc-occ-advisory-letters.xml
DCL|sdc-nevada-revised-statutes.xml|8|Bad word '.  .' for citation 'Nev. Rev. Stat. § {{CHAPTER}}.{{SECTION}}, {{PARAGRAPH}}.'  Juris:'Nev.'  LawType:'Rev. Stat.'|NEVADA_STATUTES|PARAGRAPH|/home/ekamradt/git/data-dcl-sdc/US/US-NV/sdc-nevada-revised-statutes.xml
DCL|sdc-code-of-ordinances-of-cook-county.xml|7|No law type data found for 'ILLINOIS'|ILLINOIS|PARAGRAPH|/home/ekamradt/git/data-dcl-sdc/US/US-IL/sdc-code-of-ordinances-of-cook-county.xml
DCL|sdc-chicago-municipal-code.xml|7|No jurisdiction data found for 'CHICAGO_MUNICIPAL_CODE'|CHICAGO_MUNICIPAL_CODE|PARAGRAPH|/home/ekamradt/git/data-dcl-sdc/US/US-IL/sdc-chicago-municipal-code.xml
DCL|sdc-chicago-municipal-code.xml|6|Only one beg bracket '{MAIN_TITLE}}, {{SECTION}}'|CHICAGO_MUNICIPAL_CODE|SECTION|/home/ekamradt/git/data-dcl-sdc/US/US-IL/sdc-chicago-municipal-code.xml
