Unique ID,Identification Field,Issuance Type,Weblink,Geo Category,Regional Jurisdiction,Local Jurisdiction,Issuing Authority,Language,Issuance Type,Weblink,Phase,MVP Desired Source? (March 2021),Contract Alignment,Added as part of pilot work? (Y),Planned Ingestion Date,Target Ingestion Date (Month),Actual Ingestion Date,Statutes/Regulations or  Proposed/Monitoring,In SHRP Inventory?,Legal Monitoring? (Domestic),International Monitoring?,Frequency of Ingestion/Updates,"Ingestion Start Date (ideal to align w/UAT for MVP, should be prior to 3/26/2021)",Lookback on historical content (Y/N)?,Document Level View,Related Issuance Type(s),Citation Standard,Lowest level citation in inventory,Notes,2020,2021,2022,2023,Notes 2,Duplicate ID,Proprietary Sources,Source Display Name,Universal SDC Issuance Type,Identification Field,QA Data Testing,QA Data Testing 2,QA Data Testing 3,Ingestion Status,Ingestion Status 2,Ingestion Status 3,Cost,Data Conversion,SDC Status,Baseline Content,Engin Status
001505,,Alabama - Register (Notice of Adoption of Rule),http://www.alabamaadministrativecode.state.al.us/monthly.html,US State,United States,Alabama,Alabama State Legislature,English,Alabama - Register (Notice of Adoption of Rule),http://www.alabamaadministrativecode.state.al.us/monthly.html,2,checked,,,2021-05-03 00:00,,,Proposed/Monitoring,,checked,,Weekly,1/1/2021,N,Register entry,Alabama - Admin Code,,,,,P1,,,,,,,ADMINISTRATIVE_REGISTER,,,,,,,,,Innodata,,,
000621,CODE_OF_ALABAMA,Alabama - Revised Statutes (Code of Alabama),http://alisondb.legislature.state.al.us/alison/CodeOfAlabama/1975/Coatoc.htm ,US State,United States,Alabama,Alabama State Legislature,English,Alabama - Revised Statutes (Code of Alabama),http://alisondb.legislature.state.al.us/alison/CodeOfAlabama/1975/Coatoc.htm ,2,checked,2020 Amendment 2,,2021-05-03 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Chapter,,Ala. Code § {{TITLE}}-{{CHAPTER}}{{ARTICLE}}-{{SECTION}},,,P0,,,,,,,,STATUTORY_COMPILATION,CODE_OF_ALABAMA,,,,,,,,Innodata,Delivered,Delivered,Yes
000619,,Alabama - Admin Code,http://www.alabamaadministrativecode.state.al.us/,US State,United States,Alabama,Alabama State Legislature,English,Alabama - Admin Code,http://www.alabamaadministrativecode.state.al.us/,5,checked,2021 Contract,,2021-12-31 00:00,,,Statutes/Regulations,,,,Monthly,1/1/2021,n/a (versioned),Chapter,,,,,P1,,,,,,,,,,,,,,,,,Innodata,,,
001504,,Alabama - Bills,http://alisondb.legislature.state.al.us/alison/Splash_Bills.aspx,US State,United States,Alabama,Alabama State Legislature,English,Alabama - Bills,http://alisondb.legislature.state.al.us/alison/Splash_Bills.aspx,2,checked,,,2021-05-03 00:00,,,Proposed/Monitoring,,checked,,Daily,1/1/2021,N,whole document (Bill),Alabama - Revised Statutes (Code of Alabama),,,,,P1,,,,,,,SESSION_LAWS,,,,,,,,,Innodata,,,
000624,,Alaska - Bills,http://www.akleg.gov/basis/Home/Bill/31,US State,United States,Alaska,Alaska State Legislature,English,Alaska - Bills,http://www.akleg.gov/basis/Home/Bill/31,2,checked,,,2021-05-03 00:00,,,Proposed/Monitoring,,checked,,Daily,1/1/2021,N,whole document (Bill),Alaska - Revised Statutes,,,,,P1,,,,,,,SESSION_LAWS,,,,,,,,,Innodata,,,
001068,,Alaska - Register,https://aws.state.ak.us/OnlinePublicNotices/Notices/Search.aspx,US State,United States,Alaska,Alaska State Legislature,English,Alaska - Register,https://aws.state.ak.us/OnlinePublicNotices/Notices/Search.aspx,2,checked,,,2021-05-03 00:00,,,Proposed/Monitoring,,checked,,Weekly,1/1/2021,N,Register entry,,,,,,P1,,,,,,,ADMINISTRATIVE_REGISTER,,,,,,,,,Innodata,,,
000623,,Alaska - Admin Code,www.akleg.gov/basis/aac.asp#TitleTable,US State,United States,Alaska,Alaska State Legislature,English,Alaska - Admin Code,www.akleg.gov/basis/aac.asp#TitleTable,5,checked,2021 Contract,,2021-12-31 00:00,,,Statutes/Regulations,,,,Monthly,1/1/2021,n/a (versioned),Chapter,,,,,P1,,,,,,,,,,,,,,,,,Innodata,,,Yes
000626,ALASKA_STATUTES,Alaska - Revised Statutes,http://www.akleg.gov/basis/statutes.asp#01 ,US State,United States,Alaska,Alaska State Legislature,English,Alaska - Revised Statutes,http://www.akleg.gov/basis/statutes.asp#01 ,2,checked,2020 Amendment 2,,2021-05-03 00:00,,,Statutes/Regulations,checked,,,Monthly,1/1/2021,n/a (versioned),Chapter,,Alaska Stat. § {{SECTION}},,"NOTE: You'll need to navigate through the statutes via the 'TOC' link on the left side menu, by default only Title 1 is displayed",P0,,,,,,,,STATUTORY_COMPILATION,ALASKA_STATUTES,,,,,,,,Innodata,Delivered,Delivered,Yes
001556,,AHFC Single-Family Seller/Servicer Memorandums,https://www.ahfc.us/pros/lenders/seller-servicer-memorandums,US State,United States,Alaska,Alaska Housing Finance Corporation,English,AHFC Single-Family Seller/Servicer Memorandums,https://www.ahfc.us/pros/lenders/seller-servicer-memorandums,2,checked,,,2021-05-03 00:00,,,Proposed/Monitoring,,checked,,Weekly,1/1/2021,Y,whole document (Memorandum),,,,,,P1,,,,,,,,,,,,,,,,Innodata,,,
001580,,Consolidated Regulations of Alberta,https://www.qp.alberta.ca/570.cfm,International ,Canada,Alberta,Alberta Legislature,English/French,Consolidated Regulations of Alberta,https://www.qp.alberta.ca/570.cfm,8,,,,2022-08-02 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,P3,,Alberta offers a subscription service https://qpsource.gov.ab.ca/Pdf/Overview.pdf also see https://qpsource.gov.ab.ca/Pdf/QP_Source_Private.pdf that actually systematizes the various codes - recommended over URL provided due to non-systematic contents (Joshilyn),,,,ADMINISTRATIVE_COMPILATION,,,,,,,,,DCL,,,
001061,,Revised Statutes of Alberta (RSA 2000),https://www.qp.alberta.ca/570.cfm,International ,Canada,Alberta,Alberta Legislature,English,Revised Statutes of Alberta (RSA 2000),https://www.qp.alberta.ca/570.cfm,8,,,,2022-08-02 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,P3,,Alberta offers a subscription service https://qpsource.gov.ab.ca/Pdf/Overview.pdf also see https://qpsource.gov.ab.ca/Pdf/QP_Source_Private.pdf that actually systematizes the various codes - recommended over URL provided due to non-systematic contents (Joshilyn),,,,STATUTORY_COMPILATION,,,,,,,,,DCL,,,
001669,,Argentina Criminal Code (Penal Code),http://servicios.infoleg.gob.ar/infolegInternet/anexos/15000-19999/16546/texact.htm,International ,LATAM,Argentina,Argentina Government,Spanish,Argentina Criminal Code (Penal Code),http://servicios.infoleg.gob.ar/infolegInternet/anexos/15000-19999/16546/texact.htm,12,,,,2023-09-29 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,,,,,,,,,,Innodata,,,
001668,,Argentina Constitution,https://www.cof.org/sites/default/files/documents/files/Argentina/Argentina%20Constitution.pdf,International ,LATAM,Argentina,Argentina Government,English,Argentina Constitution,https://www.cof.org/sites/default/files/documents/files/Argentina/Argentina%20Constitution.pdf,12,,,,2023-09-29 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,,,,,,,,,,Innodata,,,
001667,,Argentina Commercial Code,https://limeres.com/argentina-civil-commercial-code-2015-english-version/,International ,LATAM,Argentina,Argentina Government,English,Argentina Commercial Code,https://limeres.com/argentina-civil-commercial-code-2015-english-version/,12,,,,2023-09-29 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,,,,,,,,,,Innodata,,,
001671,,Argentina Decrees,https://www.boletinoficial.gob.ar/seccion/primera,International ,LATAM,Argentina,Argentina Government,Spanish,Argentina Decrees,https://www.boletinoficial.gob.ar/seccion/primera,12,,,,2023-09-29 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,,,,,,,,,,Innodata,,,
001666,,Argentina Civil Code,https://archive.org/stream/argentinecivilc00whelgoog/argentinecivilc00whelgoog_djvu.txt,International ,LATAM,Argentina,Argentina Government,English,Argentina Civil Code,https://archive.org/stream/argentinecivilc00whelgoog/argentinecivilc00whelgoog_djvu.txt,12,,,,2023-09-29 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,,,,,,,,,,Innodata,,,
001673,,Argentina Resolutions,https://www.boletinoficial.gob.ar/seccion/primera,International ,LATAM,Argentina,Argentina Government,Spanish,Argentina Resolutions,https://www.boletinoficial.gob.ar/seccion/primera,12,,,,2023-09-29 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,,,,,,,,,,Innodata,,,
001672,,Argentina Laws,https://www.boletinoficial.gob.ar/seccion/primera,International ,LATAM,Argentina,Argentina Government,Spanish,Argentina Laws,https://www.boletinoficial.gob.ar/seccion/primera,12,,,,2023-09-29 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,,,,,,,,,,Innodata,,,
001665,,Argentina - City of Buenos Aires Inspeccion General de Justicia (IGJ)  General Resolutions,https://www.argentina.gob.ar/justicia/igj/institucional/resoluciones-particulares,International ,LATAM,Argentina,Buenos Aires - Inspeccion General de Justicia (IGJ),Spanish,Argentina - City of Buenos Aires Inspeccion General de Justicia (IGJ)  General Resolutions,https://www.argentina.gob.ar/justicia/igj/institucional/resoluciones-particulares,12,,,,2023-09-29 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,,,P4,,,,,,,,,,,,,,Innodata,,,
001299,,Argentina AAIP Site,https://www.argentina.gob.ar/aaip,International ,LATAM,Argentina,Argentina Data Protection and Privacy (AAIP),Spanish,Argentina AAIP Site,https://www.argentina.gob.ar/aaip,12,,,,2023-09-29 00:00,,,Proposed/Monitoring,,,checked,,,,,,,,,,,,P4,,,,,,,,,,,,,,Innodata,,,
