Unique ID,Geo Category,Regional Jurisdiction,Local Jurisdiction,Issuing Authority,Language,Issuance Type,Weblink,Phase,MVP Desired Source? (March 2021),Contract Alignment,Added as part of pilot work? (Y),Planned Ingestion Date,Target Ingestion Date (Month),Actual Ingestion Date,Statutes/Regulations or  Proposed/Monitoring,In SHRP Inventory?,Legal Monitoring? (Domestic),International Monitoring?,Frequency of Ingestion/Updates,"Ingestion Start Date (ideal to align w/UAT for MVP, should be prior to 3/26/2021)",Lookback on historical content (Y/N)?,Document Level View,Related Issuance Type(s),Citation Standard,Lowest level citation in inventory,Notes,Innodata,DCL,2020, 2021, 2022, 2023,Notes 2,Duplicate ID,Proprietary Sources,Source Display Name,Universal SDC Issuance Type
001504,US State,United States,Alabama,Alabama State Legislature,English,Alabama - Bills,http://alisondb.legislature.state.al.us/alison/Splash_Bills.aspx,2,checked,,,2021-05-03 00:00,,,Proposed/Monitoring,,checked,,Daily,1/1/2021,N,whole document (Bill),Alabama - Revised Statutes (Code of Alabama),,,,checked,,,P1,,,,,,,SESSION_LAWS
001505,US State,United States,Alabama,Alabama State Legislature,English,Alabama - Register (Notice of Adoption of Rule),http://www.alabamaadministrativecode.state.al.us/monthly.html,2,checked,,,2021-05-03 00:00,,,Proposed/Monitoring,,checked,,Weekly,1/1/2021,N,Register entry,Alabama - Admin Code,,,,checked,,,P1,,,,,,,ADMINISTRATIVE_REGISTER
000624,US State,United States,Alaska,Alaska State Legislature,English,Alaska - Bills,http://www.akleg.gov/basis/Home/Bill/31,2,checked,,,2021-05-03 00:00,,,Proposed/Monitoring,,checked,,Daily,1/1/2021,N,whole document (Bill),Alaska - Revised Statutes,,,,checked,,,P1,,,,,,,SESSION_LAWS
001068,US State,United States,Alaska,Alaska State Legislature,English,Alaska - Register,https://aws.state.ak.us/OnlinePublicNotices/Notices/Search.aspx,2,checked,,,2021-05-03 00:00,,,Proposed/Monitoring,,checked,,Weekly,1/1/2021,N,Register entry,,,,,checked,,,P1,,,,,,,ADMINISTRATIVE_REGISTER
001556,US State,United States,Alaska,Alaska Housing Finance Corporation,English,AHFC Single-Family Seller/Servicer Memorandums,https://www.ahfc.us/pros/lenders/seller-servicer-memorandums,2,checked,,,2021-05-03 00:00,,,Proposed/Monitoring,,checked,,Weekly,1/1/2021,Y,whole document (Memorandum),,,,,checked,,,P1,,,,,,,
001061,International,Canada,Alberta,Alberta Legislature,English,Revised Statutes of Alberta (RSA 2000),https://www.qp.alberta.ca/570.cfm,8,,,,2022-08-02 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,checked,,,P3,,Alberta offers a subscription service https://qpsource.gov.ab.ca/Pdf/Overview.pdf also see https://qpsource.gov.ab.ca/Pdf/QP_Source_Private.pdf that actually systematizes the various codes - recommended over URL provided due to non-systematic contents (Joshilyn),,,,STATUTORY_COMPILATION
001580,International,Canada,Alberta,Alberta Legislature,English/French,Consolidated Regulations of Alberta,https://www.qp.alberta.ca/570.cfm,8,,,,2022-08-02 00:00,,,Statutes/Regulations,checked,,,,,,,,,,,,checked,,,P3,,Alberta offers a subscription servicehttps://qpsource.gov.ab.ca/Pdf/Overview.pdfalso seehttps://qpsource.gov.ab.ca/Pdf/QP_Source_Private.pdfthat actually systematizes the various codes - recommended over URL provided due to non-systematic contents (Joshilyn),,,,ADMINISTRATIVE_COMPILATION
001299,International,LATAM,Argentina,Argentina Data Protection and Privacy (AAIP),Spanish,Argentina AAIP Site,https://www.argentina.gob.ar/aaip,12,,,,2023-09-29 00:00,,,Proposed/Monitoring,,,checked,,,,,,,,,checked,,,,,P4,,,,,
001300,International,LATAM,Argentina,Central Bank of Argentina,English,Central Bank of Argentina Prudential Regulations,https://www.bcra.gob.ar/Pdfs/SistemasFinancierosYdePagos/marco%20normativo_i.pdf,12,,,,2023-09-29 00:00,,,Statutes/Regulations,,,checked,,,,,,,,,checked,,,,,P4,,,,,
001301,International,LATAM,Argentina,Argentina Ministry of Labour,Spanish,Argentina Labour Laws,https://www.argentina.gob.ar/trabajo,12,,,,2023-09-29 00:00,,,Statutes/Regulations,,,checked,,,,,,,,,checked,,,,,P4,,,,,
