"Federal Administrative and Legislative Materials","","","","Agricultural Marketing Service","AMS","AMS",""
"Federal Administrative and Legislative Materials","","","","Agricultural Research Service","ARS 218","ARS 218",""
"Federal Administrative and Legislative Materials","","","","Animal and Plant Health Inspection Service","APHIS","APHIS",""
"Federal Administrative and Legislative Materials","","","","Center for Nutrition Policy and Promotion","CNPP","CNPP",""
"Federal Administrative and Legislative Materials","","","","Cooperative State Research, Education, and Extension Service","CSREES","CSREES",""
"Federal Administrative and Legislative Materials","","","","Economic Research Service","ERS","ERS",""
"Federal Administrative and Legislative Materials","","","","Farm Service Agency","FSA","FSA",""
"Federal Administrative and Legislative Materials","","","","Food and Nutrition Service","FNS","FNS",""
"Federal Administrative and Legislative Materials","","","","Food Safety and Inspection Service","FSIS","FSIS",""
"Federal Administrative and Legislative Materials","","","","Foreign Agricultural Service","FAS","FAS",""
"Federal Administrative and Legislative Materials","","","","Forest Service","FS","FS",""
"Federal Administrative and Legislative Materials","","","","Grain Inspection, Packers, and Stockyards Administration","GIPSA","GIPSA",""
"Federal Administrative and Legislative Materials","","","","National Agricultural Library","NAL","NAL",""
"Federal Administrative and Legislative Materials","","","","National Agricultural Statistics Service","NASS","NASS",""
"Federal Administrative and Legislative Materials","","","","National Institute of Food and Agriculture","NIFA","NIFA",""
"Federal Administrative and Legislative Materials","","","","National Resources Conservation Service","NRCS","NRCS",""
"Federal Administrative and Legislative Materials","","","","Risk Management Agency","RMA","RMA",""
"Federal Administrative and Legislative Materials","","","","Rural Development","RD","RD",""
"Federal Administrative and Legislative Materials","","","","Rural Housing Service","RHS","RHS",""
"Federal Administrative and Legislative Materials","","","","Rural Utilities Service","RUS","RUS",""
"Federal Administrative and Legislative Materials","","","","Official Gazette of the United States Patent Office (1872?1971)","Off. Gaz. Pat. Office","OFF GAZ PAT OFFICE",""
"Federal Administrative and Legislative Materials","","","","Official Gazette of the United States Patent and Trademark Office (1975?2002)","Off. Gaz. Pat. & Trademark Office","OFF GAZ PAT & TRADEMARK OFFICE",""
"Federal Administrative and Legislative Materials","","","","Trademark Manual of Examining Procedure","TMEP (5th ed. Sept. 2007)","TMEP TH ED SEPT 2007)",""
